1,betty,ca,25.00,wood,1.23,5.15,4.75,6.3345,5.8425,0,12.1770
1,betty,ca,25.00,wood,1.23,5.15,4.75,6.3345,5.8425,0,12.1770
1,beth,ca,25.00,wood,1.23,5.15,4.75,6.3345,5.8425,0,12.1770
1,mo,ca,25.00,wood,12.3,5.15,4.75,63.345,58.425,0,121.770
1,ann,ca,25.00,wood,12.3,5.15,4.75,63.345,58.425,0,121.770
1,kate,ca,25.00,wood,12.1,5.15,4.75,62.315,57.475,0,119.790
1,kate,ca,25.00,wood,12.1,5.15,4.75,62.315,57.475,0,119.790
1,kate,ca,25.00,wood,12.1,5.15,4.75,62.315,57.475,0,119.790
0,ann,ca,25.00,wood,2.12,5.15,4.75,10.9180,10.0700,0,20.9880
0,ann,ca,25.00,wood,2.12,5.15,4.75,10.9180,10.0700,0,20.9880
0,mel,ca,25.00,wood,1.2,5.15,4.75,6.180,5.700,0,11.880
